Category,Language,Aspect,Count,Aspect_Category,Negative,Neutral,Positive
PostDoc,English,system,69,wissenschaft,58,6,5
PostDoc,German,system,177,wissenschaft,151,12,14
PhD Student,German,system,44,wissenschaft,34,5,5
Professor,English,system,33,wissenschaft,24,8,1
Professor,German,system,141,wissenschaft,121,8,12
Others,English,system,15,wissenschaft,13,1,1
Others,German,system,106,wissenschaft,92,8,6
Unknown,English,system,14,wissenschaft,14,0,0
Unknown,German,system,109,wissenschaft,94,5,10
PD,German,system,45,wissenschaft,41,4,0
PostDoc,English,job,32,arbeit,13,16,3
PostDoc,German,job,52,arbeit,20,21,11
PhD Student,German,job,14,arbeit,6,3,5
Professor,English,job,15,arbeit,5,5,5
Professor,German,job,40,arbeit,11,15,14
Others,German,job,59,arbeit,22,27,10
Unknown,English,job,12,arbeit,7,5,0
Unknown,German,job,63,arbeit,33,18,12
PostDoc,English,staff,30,mensch,18,9,3
Professor,English,staff,19,mensch,11,6,2
Others,English,staff,20,mensch,14,4,2
PostDoc,English,thread,27,thema,2,3,22
PostDoc,German,thread,97,thema,23,21,53
PhD Student,German,thread,14,thema,2,1,11
Professor,English,thread,11,thema,1,1,9
Professor,German,thread,41,thema,8,8,25
Others,German,thread,38,thema,2,8,28
Lecturers,German,thread,12,thema,2,3,7
Unknown,German,thread,13,thema,2,3,8
PostDoc,English,position,27,stelle,6,19,2
PostDoc,German,position,19,stelle,9,6,4
Professor,English,position,21,stelle,7,11,3
Others,English,position,12,stelle,2,6,4
Others,German,position,14,stelle,10,1,3
Unknown,German,position,11,stelle,7,4,0
PostDoc,English,academia,24,academia,19,1,4
Professor,English,academia,15,academia,13,1,1
PostDoc,English,hanna,21,hanna,8,8,5
PostDoc,German,hanna,67,hanna,26,24,17
Professor,German,hanna,48,hanna,25,14,9
Others,English,hanna,38,hanna,5,17,16
Others,German,hanna,42,hanna,20,16,6
Unknown,German,hanna,49,hanna,24,12,13
PostDoc,English,conditions,21,situation,17,0,4
Unknown,English,conditions,11,situation,10,1,0
PostDoc,English,contract,17,vertrag,6,7,4
PostDoc,English,germany,16,deutschland,10,4,2
Professor,English,germany,14,deutschland,6,7,1
PostDoc,English,work,16,arbeit,8,4,4
PostDoc,English,teaching,15,professur,6,4,5
PostDoc,English,law,14,politik,12,2,0
PostDoc,English,twitter,12,wort,2,9,1
PostDoc,German,twitter,20,wort,8,10,2
Others,German,twitter,15,wort,4,10,1
Unknown,German,twitter,18,wort,9,7,2
PostDoc,English,money,12,geld,7,4,1
PostDoc,English,video,11,forschung,7,3,1
PostDoc,German,video,65,forschung,35,17,13
PhD Student,German,video,38,forschung,19,11,8
Professor,German,video,51,forschung,31,9,11
Others,German,video,51,forschung,25,18,8
Unknown,German,video,33,forschung,25,4,4
PostDoc,English,place,11,stelle,5,1,5
PostDoc,English,working conditions,11,situation,6,0,5
PostDoc,German,stelle,107,stelle,63,31,13
PhD Student,German,stelle,42,stelle,24,13,5
Professor,German,stelle,76,stelle,39,25,12
Others,German,stelle,76,stelle,54,15,7
Unknown,German,stelle,98,stelle,62,22,14
PD,German,stelle,12,stelle,8,3,1
PostDoc,German,lehre,97,leute,62,1,34
PhD Student,German,lehre,26,leute,14,3,9
Professor,German,lehre,96,leute,62,3,31
Others,German,lehre,57,leute,39,4,14
Unknown,German,lehre,54,leute,38,2,14
PD,German,lehre,13,leute,9,0,4
PostDoc,German,wissenschaft,95,wissenschaft,63,16,16
PhD Student,German,wissenschaft,13,wissenschaft,8,4,1
Professor,German,wissenschaft,45,wissenschaft,28,11,6
Others,German,wissenschaft,82,wissenschaft,51,16,15
Unknown,German,wissenschaft,53,wissenschaft,42,9,2
PD,German,wissenschaft,21,wissenschaft,17,2,2
PostDoc,German,universitäten,78,academia,75,0,3
PostDoc,German,stellen,77,stelle,70,6,1
PhD Student,German,stellen,19,stelle,16,1,2
Professor,German,stellen,62,stelle,50,7,5
Others,German,stellen,50,stelle,45,4,1
Unknown,German,stellen,48,stelle,43,1,4
PD,German,stellen,14,stelle,12,1,1
PostDoc,German,geld,76,geld,60,13,3
PhD Student,German,geld,19,geld,14,4,1
Professor,German,geld,64,geld,50,10,4
Others,German,geld,55,geld,40,11,4
Unknown,German,geld,67,geld,57,8,2
PD,German,geld,14,geld,7,6,1
PostDoc,German,professor,73,professur,52,14,7
Professor,English,professor,19,professur,5,9,5
Professor,German,professor,45,professur,27,14,4
Others,German,professor,27,professur,18,6,3
Unknown,German,professor,30,professur,17,8,5
PostDoc,German,situation,70,situation,48,20,2
PhD Student,German,situation,18,situation,7,9,2
Professor,German,situation,33,situation,27,6,0
Others,German,situation,54,situation,36,16,2
Unknown,German,situation,31,situation,24,7,0
PostDoc,German,arbeitsbedingungen,70,situation,49,1,20
Professor,German,arbeitsbedingungen,66,situation,49,1,16
Others,German,arbeitsbedingungen,81,situation,60,0,21
Unknown,German,arbeitsbedingungen,59,situation,48,2,9
PostDoc,German,politik,62,politik,48,12,2
Professor,German,politik,45,politik,27,12,6
Others,German,politik,58,politik,38,15,5
Unknown,German,politik,36,politik,27,7,2
PostDoc,German,leute,53,leute,41,8,4
PhD Student,German,leute,16,leute,11,2,3
Professor,German,leute,49,leute,36,5,8
Others,German,leute,31,leute,19,7,5
Unknown,German,leute,44,leute,40,1,3
PD,German,leute,23,leute,21,1,1
PostDoc,German,wissenschaftler,48,wissenschaft,36,3,9
Professor,German,wissenschaftler,20,wissenschaft,16,0,4
Others,German,wissenschaftler,25,wissenschaft,16,6,3
Unknown,German,wissenschaftler,16,wissenschaft,12,2,2
PostDoc,German,diskussion,46,thema,21,13,12
Professor,German,diskussion,27,thema,19,8,0
Others,German,diskussion,22,thema,7,8,7
Unknown,German,diskussion,15,thema,10,2,3
PostDoc,German,personal,44,mensch,36,5,3
Professor,German,personal,29,mensch,20,6,3
Others,German,personal,36,mensch,21,5,10
Unknown,German,personal,23,mensch,17,1,5
PD,German,personal,15,mensch,15,0,0
PostDoc,German,professur,42,professur,33,6,3
Professor,German,professur,57,professur,43,8,6
Others,German,professur,14,professur,9,5,0
Unknown,German,professur,16,professur,11,2,3
PD,German,professur,13,professur,9,1,3
PostDoc,German,thema,41,thema,17,18,6
PhD Student,German,thema,11,thema,3,5,3
Professor,German,thema,20,thema,10,6,4
Others,German,thema,32,thema,11,18,3
Unknown,German,thema,31,thema,13,12,6
PostDoc,German,arbeit,39,arbeit,24,2,13
Professor,German,arbeit,27,arbeit,19,0,8
Others,German,arbeit,29,arbeit,13,3,13
Unknown,German,arbeit,22,arbeit,17,3,2
PostDoc,German,artikel,35,promotion,14,5,16
Professor,German,artikel,22,promotion,5,3,14
Others,German,artikel,23,promotion,5,8,10
Unknown,German,artikel,15,promotion,6,6,3
PostDoc,German,ministerin,33,ministerin,27,6,0
Professor,German,ministerin,22,ministerin,17,3,2
Others,German,ministerin,30,ministerin,26,3,1
PostDoc,German,debatte,32,thema,23,6,3
Professor,German,debatte,20,thema,11,6,3
Others,German,debatte,36,thema,22,12,2
Unknown,German,debatte,17,thema,14,2,1
PostDoc,German,hochschulen,31,hochschule,27,2,2
Professor,German,hochschulen,37,hochschule,31,0,6
Others,German,hochschulen,30,hochschule,23,2,5
Unknown,German,hochschulen,14,hochschule,14,0,0
PostDoc,German,punkt,31,stelle,9,10,12
Professor,German,punkt,30,stelle,12,9,9
Others,German,punkt,21,stelle,7,10,4
Unknown,German,punkt,17,stelle,8,9,0
PostDoc,German,promotion,30,promotion,14,8,8
PhD Student,German,promotion,16,promotion,7,6,3
Professor,German,promotion,33,promotion,20,7,6
Others,German,promotion,31,promotion,16,12,3
Unknown,German,promotion,42,promotion,28,11,3
PostDoc,German,vertrag,30,vertrag,21,8,1
Professor,German,vertrag,13,vertrag,7,4,2
Others,German,vertrag,14,vertrag,11,3,0
Unknown,German,vertrag,28,vertrag,14,10,4
PostDoc,German,projekt,29,projekt,19,6,4
Professor,German,projekt,14,projekt,10,3,1
Others,German,projekt,15,projekt,9,3,3
PostDoc,German,zeit,29,zeit,21,5,3
Professor,German,zeit,21,zeit,16,4,1
Others,German,zeit,17,zeit,8,7,2
Unknown,German,zeit,13,zeit,7,5,1
PostDoc,German,professoren,27,professur,22,3,2
Professor,German,professoren,17,professur,13,2,2
Unknown,German,professoren,14,professur,12,2,0
PostDoc,German,mitarbeiter,27,arbeit,20,0,7
Professor,German,mitarbeiter,22,arbeit,13,6,3
Others,German,mitarbeiter,24,arbeit,18,2,4
Unknown,German,mitarbeiter,13,arbeit,10,2,1
PostDoc,German,Professor,26,professur,17,4,5
Professor,German,Professor,19,professur,11,2,6
Others,German,Professor,15,professur,10,3,2
Unknown,German,Professor,19,professur,9,5,5
PostDoc,German,systems,24,wissenschaft,14,4,6
Professor,German,systems,11,wissenschaft,11,0,0
Unknown,German,systems,12,wissenschaft,10,2,0
PostDoc,German,forschung,24,forschung,16,2,6
Professor,German,forschung,22,forschung,10,1,11
Unknown,German,forschung,13,forschung,7,4,2
PostDoc,German,profs,23,professur,15,5,3
Professor,German,profs,23,professur,14,2,7
PostDoc,German,finanzierung,23,geld,19,3,1
Professor,German,finanzierung,20,geld,15,4,1
Others,German,finanzierung,17,geld,15,2,0
Unknown,German,finanzierung,15,geld,12,3,0
PostDoc,German,bedingungen,23,grund,19,2,2
PhD Student,German,bedingungen,14,grund,13,0,1
Professor,German,bedingungen,15,grund,11,2,2
Others,German,bedingungen,18,grund,15,1,2
PostDoc,German,argument,23,thema,17,4,2
Professor,German,argument,18,thema,15,3,0
Unknown,German,argument,13,thema,10,2,1
PD,German,argument,14,thema,13,1,0
PostDoc,German,buch,22,bmbf,3,6,13
PostDoc,German,reform,22,mittelbau,14,4,4
Professor,German,reform,28,mittelbau,17,6,5
Others,German,reform,37,mittelbau,20,8,9
PostDoc,German,leben,21,arbeit,11,6,4
Professor,German,leben,16,arbeit,9,6,1
Others,German,leben,18,arbeit,7,10,1
Unknown,German,leben,27,arbeit,9,17,1
PostDoc,German,interview,21,problem,2,5,14
Professor,German,interview,15,problem,2,1,12
Others,German,interview,13,problem,1,7,5
PostDoc,German,kosten,21,geld,20,0,1
Professor,German,kosten,18,geld,18,0,0
Unknown,German,kosten,13,geld,9,2,2
PostDoc,German,unis,20,uni,17,1,2
Professor,German,unis,19,uni,17,2,0
Others,German,unis,14,uni,12,1,1
Unknown,German,unis,15,uni,14,0,1
PostDoc,German,karriere,20,arbeit,15,5,0
Professor,German,karriere,12,arbeit,7,4,1
Others,German,karriere,12,arbeit,10,2,0
Unknown,German,karriere,16,arbeit,8,6,2
PostDoc,German,verwaltung,19,arbeit,17,1,1
Others,German,verwaltung,12,arbeit,9,0,3
PostDoc,German,kinder,19,stelle,9,9,1
Professor,German,kinder,12,stelle,5,6,1
Unknown,German,kinder,11,stelle,6,4,1
PostDoc,German,workshop,19,arbeit,2,12,5
Professor,German,workshop,29,arbeit,0,29,0
PostDoc,German,lage,19,forschung,11,6,2
Others,German,lage,22,forschung,19,3,0
PostDoc,German,professuren,18,professur,13,2,3
Professor,German,professuren,49,professur,42,4,3
Others,German,professuren,11,professur,10,1,0
Unknown,German,professuren,22,professur,17,2,3
PD,German,professuren,14,professur,11,2,1
PostDoc,German,problem,18,problem,16,1,1
Professor,German,problem,12,problem,10,2,0
PostDoc,German,beitrag,18,projekt,1,3,14
Professor,German,beitrag,13,projekt,4,2,7
Others,German,beitrag,13,projekt,3,2,8
PostDoc,German,projekte,18,projekt,14,1,3
Professor,German,projekte,11,projekt,9,1,1
PostDoc,German,wissenschaftssystem,18,wissenschaft,14,0,4
Professor,German,wissenschaftssystem,21,wissenschaft,17,1,3
PostDoc,German,person,16,mensch,12,2,2
Professor,German,person,14,mensch,12,1,1
Unknown,German,person,14,mensch,9,3,2
PostDoc,German,aspekt,16,perspektive,6,7,3
PostDoc,German,bezahlung,16,geld,13,1,2
Professor,German,bezahlung,11,geld,6,0,5
Others,German,bezahlung,21,geld,16,3,2
Unknown,German,bezahlung,12,geld,9,0,3
PostDoc,German,mittel,15,mittelbau,11,1,3
PostDoc,German,text,14,wort,6,3,5
Others,German,text,12,wort,4,2,6
PostDoc,German,chance,14,jahr,7,3,4
Unknown,German,chance,12,jahr,4,5,3
PostDoc,German,moment,14,zeit,4,10,0
PostDoc,German,rolle,14,leute,5,5,4
PostDoc,German,ministerium,14,ministerin,12,1,1
PostDoc,German,familie,14,stelle,7,6,1
PostDoc,German,überstunden,14,zeit,12,1,1
Others,German,überstunden,12,zeit,10,2,0
Unknown,German,überstunden,11,zeit,9,2,0
PostDoc,German,kommentar,14,zukunft,7,4,3
PostDoc,German,personen,14,mensch,10,2,2
PostDoc,German,bereich,14,hanna,9,5,0
Unknown,German,bereich,15,hanna,12,2,1
PostDoc,German,gehalt,14,projekt,10,3,1
Others,German,gehalt,13,projekt,8,1,4
Unknown,German,gehalt,12,projekt,6,3,3
PostDoc,German,chef,14,mittelbau,4,3,7
Professor,German,chef,16,mittelbau,11,3,2
Unknown,German,chef,19,mittelbau,11,2,6
PostDoc,German,menschen,14,mensch,8,1,5
Professor,German,menschen,13,mensch,5,2,6
Others,German,menschen,16,mensch,13,0,3
Unknown,German,menschen,28,mensch,19,4,5
PostDoc,German,mittelbau,13,mittelbau,7,6,0
Others,German,mittelbau,14,mittelbau,9,5,0
PostDoc,German,bund,13,bmbf,8,4,1
Professor,German,bund,13,bmbf,5,6,2
Others,German,bund,11,bmbf,6,3,2
PostDoc,German,kolleg,13,forschung,5,5,3
Professor,German,kolleg,13,forschung,8,1,4
PostDoc,German,frage,13,problem,6,4,3
Professor,German,frage,12,problem,8,1,3
Others,German,frage,11,problem,4,5,2
PostDoc,German,probleme,13,problem,11,1,1
PostDoc,German,dienst,13,projekt,9,2,2
Unknown,German,dienst,15,projekt,11,3,1
PostDoc,German,uni,13,uni,10,2,1
Professor,German,uni,11,uni,11,0,0
Unknown,German,uni,15,uni,13,0,2
PostDoc,German,wissenschaftlerinnen,13,wissenschaft,7,4,2
Others,German,wissenschaftlerinnen,13,wissenschaft,9,1,3
PostDoc,German,bild,13,forschung,5,4,4
PostDoc,German,seminar,13,konferenz,5,3,5
PostDoc,German,gesetz,13,politik,9,2,2
Professor,German,gesetz,16,politik,13,2,1
PostDoc,German,grafik,12,forschung,5,1,6
PostDoc,German,preis,12,geld,11,1,0
Others,German,preis,11,geld,8,2,1
PostDoc,German,institut,12,konferenz,5,5,2
PostDoc,German,kind,12,stelle,7,5,0
PostDoc,German,verantwortung,12,grund,7,5,0
Others,German,verantwortung,11,grund,6,4,1
PostDoc,German,bildung,12,hochschule,8,1,3
Others,German,bildung,18,hochschule,10,0,8
Unknown,German,bildung,12,hochschule,10,0,2
PostDoc,German,institution,12,konferenz,10,1,1
PostDoc,German,strukturen,12,mittelbau,11,0,1
PostDoc,German,nachwuchs,12,mittelbau,6,5,1
Professor,German,nachwuchs,11,mittelbau,5,4,2
PostDoc,German,ergebnisse,12,ergebnis,5,7,0
PostDoc,German,sache,12,jahr,5,3,4
PostDoc,German,perspektiven,11,perspektive,5,0,6
PostDoc,German,perspektive,11,perspektive,3,5,3
PostDoc,German,themen,11,stelle,7,1,3
PostDoc,German,rektor,11,professur,4,4,3
PostDoc,German,dauerstellen,11,mittelbau,10,1,0
Professor,German,dauerstellen,11,mittelbau,10,1,0
PostDoc,German,arbeitgeber,11,arbeit,8,1,2
Others,German,arbeitgeber,11,arbeit,10,0,1
PostDoc,German,grundfinanzierung,11,geld,10,0,1
Professor,German,grundfinanzierung,17,geld,14,2,1
Others,German,grundfinanzierung,19,geld,16,1,2
PostDoc,German,weg,11,zukunft,5,4,2
Professor,German,weg,12,zukunft,7,4,1
Others,German,weg,18,zukunft,10,6,2
Unknown,German,weg,11,zukunft,7,2,2
Professor,English,professors,12,professur,8,2,2
Professor,German,argumente,16,thema,14,0,2
Others,German,argumente,12,thema,8,1,3
Professor,German,promovierenden,14,promotion,13,1,0
Professor,German,idee,13,perspektive,6,3,4
Professor,German,community,11,politik,3,6,2
Professor,German,ausbildung,11,hochschule,5,2,4
Others,English,jobs,15,arbeit,7,2,6
Others,German,jobs,18,arbeit,12,2,4
Unknown,German,jobs,25,arbeit,14,5,6
Others,German,türchen,24,stelle,23,0,1
Others,German,verträge,19,vertrag,18,1,0
Unknown,German,verträge,12,vertrag,9,3,0
Others,German,studium,18,academia,10,4,4
Unknown,German,studium,20,academia,11,1,8
Others,German,programm,16,projekt,7,4,5
Others,German,betrieb,14,arbeit,12,1,1
Unknown,German,betrieb,14,arbeit,12,0,2
Others,German,universität,13,academia,10,1,2
Unknown,German,universität,13,academia,12,0,1
Others,German,hannas,11,hanna,5,3,3
Others,German,studierenden,11,academia,6,3,2
Others,German,präsidentin,11,ministerin,5,5,1
Others,German,beschäftigten,11,arbeit,5,5,1
Unknown,English,wert,30,geld,14,16,0
Unknown,English,eu,23,jahr,3,20,0
Unknown,English,kuzey,22,projekt,10,12,0
Unknown,English,kuzey ali,19,projekt,18,0,1
Unknown,German,kuzey ali,20,projekt,20,0,0
Unknown,German,vollksverpetzer,15,mittelbau,0,15,0
Unknown,German,ali,14,projekt,0,0,14
Unknown,German,staat,13,situation,13,0,0
Unknown,German,frau,12,bmbf,6,1,5
Unknown,German,lehrer,11,professur,7,2,2
Unknown,German,beruf,11,projekt,6,3,2
Unknown,German,tag,11,mittelbau,4,4,3
Unknown,German,account,11,forschung,8,2,1
Unknown,German,grund,11,grund,7,4,0
